doctor_key,doctor_national_id,doctor_full_name,title,specialization,department_key,hire_date,phone,email,is_active,created_at,specialization_key
1,53390627982,Kemal Doğan,Uzman Dr.,İç Hastalıkları Uzmanı,2,2014-01-21,+905325832198,dr.kemal58@hastane.com,1,2026-05-13 01:48:12,
2,39903719146,Barış Göktaş,Doç. Dr.,Pratisyen Hekim,8,2015-06-18,+905355067139,dr.barış73@hastane.com,1,2026-05-13 01:48:12,
3,31162206528,Merve Kurt,Prof. Dr.,Kadın Doğum Uzmanı,6,2024-05-03,+905305632292,dr.merve33@hastane.com,1,2026-05-13 01:48:12,
4,54432969114,Sude Gül,Uzman Dr.,Beyin ve Sinir Cerrahisi Uzmanı,4,2022-01-22,+905321125082,dr.sude81@hastane.com,1,2026-05-13 01:48:12,
5,78352780864,Emre Avcı,Dr.,Kardiyolog,1,2013-02-18,+905359093392,dr.emre14@hastane.com,1,2026-05-13 01:48:12,
6,40009006368,Orhan Güneş,Doç. Dr.,Kardiyolog,1,2017-09-10,+905388115696,dr.orhan83@hastane.com,1,2026-05-13 01:48:12,
7,68617284732,Banu Gül,Prof. Dr.,Aile Hekimi,8,2019-12-15,+905345600609,dr.banu54@hastane.com,1,2026-05-13 01:48:12,
8,66841546336,Deniz Erdoğan,Uzman Dr.,Nörolog,4,2022-08-26,+905376244702,dr.deniz64@hastane.com,1,2026-05-13 01:48:12,
9,27696595986,Yasin Güneş,Dr.,Beyin ve Sinir Cerrahisi Uzmanı,4,2018-01-10,+905361211511,dr.yasin6@hastane.com,1,2026-05-13 01:48:12,
10,39648421052,Derya Bahçeli,Doç. Dr.,Nörolog,4,2021-03-28,+905326470508,dr.derya12@hastane.com,1,2026-05-13 01:48:12,
11,63723766066,Melis Yalçın,Uzman Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2023-10-17,+905343414607,dr.melis55@hastane.com,1,2026-05-13 01:48:12,
12,80813722900,Burak Uysal,Doç. Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2022-08-19,+905304360746,dr.burak47@hastane.com,1,2026-05-13 01:48:12,
13,39501496210,Kadir Bahçeli,Uzman Dr.,Çocuk Cerrahı,3,2024-10-16,+905378256446,dr.kadir87@hastane.com,1,2026-05-13 01:48:12,
14,93476790094,Orhan Polat,Dr.,Jinekolog,6,2014-01-08,+905326212745,dr.orhan39@hastane.com,1,2026-05-13 01:48:12,
15,58360943840,Funda Taş,Dr.,Deri ve Zührevi Hastalıklar Uzmanı,7,2014-01-10,+905326972370,dr.funda94@hastane.com,1,2026-05-13 01:48:12,
16,66297266970,Sevgi Kaya,Doç. Dr.,Kardiyolog,1,2020-08-21,+905326492766,dr.sevgi58@hastane.com,1,2026-05-13 01:48:12,
17,99270472358,Murat Tekin,Doç. Dr.,Çocuk Cerrahı,3,2019-09-07,+905348221310,dr.murat54@hastane.com,1,2026-05-13 01:48:12,
18,59618068698,Kerem Kaplan,Doç. Dr.,Dermatolog,7,2014-02-07,+905387477907,dr.kerem97@hastane.com,1,2026-05-13 01:48:12,
19,50395186940,Berna Taş,Uzman Dr.,Pratisyen Hekim,8,2016-01-05,+905314851175,dr.berna86@hastane.com,1,2026-05-13 01:48:12,
20,43183801682,Enes Erol,Doç. Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2019-05-11,+905378060322,dr.enes75@hastane.com,1,2026-05-13 01:48:12,
21,49801220118,Turan Köse,Dr.,Dahiliye Uzmanı,2,2020-07-17,+905319408308,dr.turan98@hastane.com,1,2026-05-13 01:48:12,
22,49152313378,Ahmet Bahçeli,Dr.,Jinekolog,6,2020-07-02,+905315883659,dr.ahmet99@hastane.com,1,2026-05-13 01:48:12,
23,12318967210,Emre Köse,Prof. Dr.,Kardiyolog,1,2022-11-05,+905326833165,dr.emre78@hastane.com,1,2026-05-13 01:48:12,
24,66900019146,Serkan Köse,Dr.,Kardiyolog,1,2016-12-05,+905354566254,dr.serkan97@hastane.com,1,2026-05-13 01:48:12,
25,53871515432,Özge Öztürk,Dr.,Çocuk Cerrahı,3,2018-07-15,+905362933891,dr.özge15@hastane.com,1,2026-05-13 01:48:12,
26,82820400970,Aslı Aydın,Doç. Dr.,Pratisyen Hekim,8,2013-09-16,+905304390767,dr.aslı37@hastane.com,1,2026-05-13 01:48:12,
27,70059324112,Emre Alpaslan,Doç. Dr.,Dahiliye Uzmanı,2,2022-04-02,+905354135699,dr.emre92@hastane.com,1,2026-05-13 01:48:12,
28,12131167934,Batuhan Bahçeli,Uzman Dr.,Aile Hekimi,8,2018-11-10,+905329877364,dr.batuhan96@hastane.com,1,2026-05-13 01:48:12,
29,21678116732,Müge Demir,Dr.,Nörolog,4,2022-04-28,+905391118435,dr.müge23@hastane.com,1,2026-05-13 01:48:12,
30,74267302214,Pelin Ertürk,Prof. Dr.,Jinekolog,6,2018-08-30,+905319108888,dr.pelin88@hastane.com,1,2026-05-13 01:48:12,
31,63198410518,Deniz Yılmaz,Prof. Dr.,Jinekolog,6,2015-05-02,+905356364160,dr.deniz1@hastane.com,1,2026-05-13 01:48:12,
32,77703784698,Enes Kurt,Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2014-04-30,+905301116389,dr.enes72@hastane.com,1,2026-05-13 01:48:12,
33,50583550102,Gamze Koç,Dr.,Nörolog,4,2021-09-13,+905373801760,dr.gamze59@hastane.com,1,2026-05-13 01:48:12,
34,11832051146,Enes Kaya,Doç. Dr.,Pratisyen Hekim,8,2023-12-13,+905335288573,dr.enes4@hastane.com,1,2026-05-13 01:48:12,
35,29905024034,Pınar Demir,Dr.,Dermatolog,7,2018-04-22,+905312109699,dr.pınar87@hastane.com,1,2026-05-13 01:48:12,
36,80648579670,Zeynep Akın,Dr.,Aile Hekimi,8,2020-12-26,+905313743537,dr.zeynep33@hastane.com,1,2026-05-13 01:48:12,
37,91388190100,Murat Özkan,Prof. Dr.,Kardiyolog,1,2019-03-19,+905357826219,dr.murat64@hastane.com,1,2026-05-13 01:48:12,
38,62496017016,Gözde Göktaş,Doç. Dr.,Deri ve Zührevi Hastalıklar Uzmanı,7,2023-03-31,+905378082763,dr.gözde40@hastane.com,1,2026-05-13 01:48:12,
39,32380453480,İrem Şahin,Dr.,Jinekolog,6,2014-01-16,+905328389153,dr.i̇rem59@hastane.com,1,2026-05-13 01:48:12,
40,69284898734,Hüseyin Aslan,Doç. Dr.,Çocuk Cerrahı,3,2017-04-10,+905389369329,dr.hüseyin23@hastane.com,1,2026-05-13 01:48:12,
41,80240939858,Hakan Bulut,Dr.,Pratisyen Hekim,8,2015-11-12,+905339866902,dr.hakan40@hastane.com,1,2026-05-13 01:48:12,
42,83983565254,Bahar Aydın,Doç. Dr.,Deri ve Zührevi Hastalıklar Uzmanı,7,2023-08-18,+905387984488,dr.bahar85@hastane.com,1,2026-05-13 01:48:12,
43,45334062096,Hüseyin Turan,Prof. Dr.,Aile Hekimi,8,2016-02-23,+905364262022,dr.hüseyin32@hastane.com,1,2026-05-13 01:48:12,
44,25634526306,Volkan Aydın,Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2021-07-10,+905388039553,dr.volkan24@hastane.com,1,2026-05-13 01:48:12,
45,54455143416,İrem Şahin,Uzman Dr.,Nörolog,4,2022-01-23,+905312300169,dr.i̇rem14@hastane.com,1,2026-05-13 01:48:12,
46,59574218854,Seda Özdemir,Uzman Dr.,Aile Hekimi,8,2021-05-03,+905347351273,dr.seda31@hastane.com,1,2026-05-13 01:48:12,
47,21647924634,Emre Uysal,Uzman Dr.,İç Hastalıkları Uzmanı,2,2021-05-16,+905399407200,dr.emre57@hastane.com,1,2026-05-13 01:48:12,
48,49987591552,Sude Arslan,Doç. Dr.,Çocuk Cerrahı,3,2025-04-26,+905308796669,dr.sude41@hastane.com,1,2026-05-13 01:48:12,
49,44792305790,Zeynep Çetin,Doç. Dr.,İç Hastalıkları Uzmanı,2,2019-07-14,+905354297895,dr.zeynep10@hastane.com,1,2026-05-13 01:48:12,
50,53786243086,Volkan Gül,Prof. Dr.,Kardiyolog,1,2019-05-05,+905361222235,dr.volkan55@hastane.com,1,2026-05-13 01:48:12,
51,73749121824,Mehmet Erdoğan,Dr.,Deri ve Zührevi Hastalıklar Uzmanı,7,2024-07-15,+905366673473,dr.mehmet2@hastane.com,1,2026-05-13 01:48:12,
52,69011250262,Hazal Akın,Doç. Dr.,Dermatolog,7,2023-07-17,+905361739874,dr.hazal1@hastane.com,1,2026-05-13 01:48:12,
53,99868321242,Sinan Kılıç,Prof. Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2012-12-08,+905362341310,dr.sinan34@hastane.com,1,2026-05-13 01:48:12,
54,76997842046,Didem Polat,Prof. Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2023-11-08,+905342422327,dr.didem36@hastane.com,1,2026-05-13 01:48:12,
55,83723861592,Gamze Yılmaz,Uzman Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2021-07-24,+905386403226,dr.gamze95@hastane.com,1,2026-05-13 01:48:12,
56,47982930574,Melis Acar,Uzman Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2014-03-05,+905378872354,dr.melis85@hastane.com,1,2026-05-13 01:48:12,
57,84105939458,Hande Demir,Prof. Dr.,Beyin ve Sinir Cerrahisi Uzmanı,4,2018-04-08,+905305710059,dr.hande30@hastane.com,1,2026-05-13 01:48:12,
58,38586966090,Hande Demir,Dr.,Kardiyolog,1,2020-08-15,+905356154869,dr.hande87@hastane.com,1,2026-05-13 01:48:12,
59,22101842662,Turan Arslan,Doç. Dr.,Aile Hekimi,8,2022-04-19,+905366214383,dr.turan84@hastane.com,1,2026-05-13 01:48:12,
60,69408593576,Recep Koç,Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2016-12-27,+905336643287,dr.recep21@hastane.com,1,2026-05-13 01:48:12,
61,60765573706,İrem Yalçın,Uzman Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2012-10-20,+905353595598,dr.i̇rem43@hastane.com,1,2026-05-13 01:48:12,
62,56790175268,Kaan Turgut,Doç. Dr.,Dahiliye Uzmanı,2,2014-08-05,+905393938627,dr.kaan80@hastane.com,1,2026-05-13 01:48:12,
63,77499902030,Ceren Doğan,Doç. Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2013-10-08,+905355516509,dr.ceren5@hastane.com,1,2026-05-13 01:48:12,
64,25912426922,Enes Özdemir,Uzman Dr.,Pratisyen Hekim,8,2014-10-30,+905354714075,dr.enes89@hastane.com,1,2026-05-13 01:48:12,
65,73529461478,Kadir Turan,Doç. Dr.,Jinekolog,6,2015-08-16,+905321365165,dr.kadir35@hastane.com,1,2026-05-13 01:48:12,
66,43461189792,Mehmet Gül,Dr.,Kardiyolog,1,2021-02-16,+905373414627,dr.mehmet67@hastane.com,1,2026-05-13 01:48:12,
67,48041917116,Sinem Çelik,Dr.,Çocuk Cerrahı,3,2024-04-13,+905334394574,dr.sinem95@hastane.com,1,2026-05-13 01:48:12,
68,28436602056,Banu Kurt,Doç. Dr.,Nörolog,4,2023-05-30,+905338905856,dr.banu71@hastane.com,1,2026-05-13 01:48:12,
69,46767777304,Ali Yalçın,Dr.,Kardiyolog,1,2017-09-10,+905377332982,dr.ali40@hastane.com,1,2026-05-13 01:48:12,
70,13481954342,Duygu Uysal,Uzman Dr.,Kadın Doğum Uzmanı,6,2022-11-16,+905311847616,dr.duygu18@hastane.com,1,2026-05-13 01:48:12,
71,40892333114,Ezgi Doğan,Doç. Dr.,Dermatolog,7,2017-03-05,+905316223184,dr.ezgi84@hastane.com,1,2026-05-13 01:48:12,
72,36406260670,Serkan Demir,Dr.,Kadın Doğum Uzmanı,6,2019-01-20,+905316365793,dr.serkan81@hastane.com,1,2026-05-13 01:48:12,
73,72164834296,Nil Turan,Dr.,İç Hastalıkları Uzmanı,2,2015-03-12,+905331914891,dr.nil23@hastane.com,1,2026-05-13 01:48:12,
74,82520235872,Seda Arslan,Doç. Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2015-03-09,+905372873287,dr.seda21@hastane.com,1,2026-05-13 01:48:12,
75,29949516588,Özge Turgut,Prof. Dr.,Jinekolog,6,2019-03-03,+905357603239,dr.özge85@hastane.com,1,2026-05-13 01:48:12,
76,33900415230,Berna Arslan,Uzman Dr.,Ortopedi ve Travmatoloji Uzmanı,5,2021-11-11,+905387302879,dr.berna64@hastane.com,1,2026-05-13 01:48:12,
77,28977950142,Müge Yılmaz,Uzman Dr.,Kadın Doğum Uzmanı,6,2016-12-08,+905371729607,dr.müge96@hastane.com,1,2026-05-13 01:48:12,
78,12800417766,Fatma Bulut,Prof. Dr.,Beyin ve Sinir Cerrahisi Uzmanı,4,2014-04-04,+905335527326,dr.fatma90@hastane.com,1,2026-05-13 01:48:12,
79,23407992174,Kemal Tekin,Dr.,Dermatolog,7,2019-05-08,+905359077079,dr.kemal42@hastane.com,1,2026-05-13 01:48:12,
80,93286785198,Banu Kaya,Uzman Dr.,Çocuk Cerrahı,3,2024-03-12,+905367564279,dr.banu67@hastane.com,1,2026-05-13 01:48:12,
