patient_key,patient_national_id,patient_full_name,gender,birth_date,insurance_type,city,blood_type,phone,created_at
1,82423884986,Turan Gül,E,1971-10-22,SGK,İzmir,O-,+905354679591,2026-05-13 01:48:12
2,36916697850,Yusuf Bahçeli,E,1991-05-09,SGK,Kayseri,AB-,+905315476583,2026-05-13 01:48:12
3,80482814814,Hande Kılıç,K,1985-11-03,Özel,İstanbul,AB-,+905329897858,2026-05-13 01:48:12
4,53039117188,Yusuf Güneş,E,1943-03-11,Özel,Mersin,B+,+905328973915,2026-05-13 01:48:12
5,44657871316,Sude Erol,K,1998-05-03,SGK,Diyarbakır,B-,+905394860684,2026-05-13 01:48:12
6,20518347336,Fatih Yıldız,E,1966-07-26,Özel,Bursa,O-,+905398930103,2026-05-13 01:48:12
7,75667010686,Kemal Kaplan,E,1965-03-19,SGK,Bursa,O-,+905334214348,2026-05-13 01:48:12
8,83178108006,Gizem Koç,K,1931-01-13,SGK,Konya,O-,+905327818496,2026-05-13 01:48:12
9,70647468754,Eda Kılıç,K,1999-01-23,SGK,Eskişehir,AB-,+905302022698,2026-05-13 01:48:12
10,98208121900,Selim Turan,E,2018-10-20,SGK,Diyarbakır,A+,+905315130808,2026-05-13 01:48:12
11,95435346212,Sevgi Karakaya,K,1980-09-21,SGK,İstanbul,O-,+905352217071,2026-05-13 01:48:12
12,94251354272,Orhan Doğan,E,1972-05-18,SGK,İstanbul,AB+,+905349874152,2026-05-13 01:48:12
13,28244935322,Volkan Alpaslan,E,1962-12-30,SGK,Adana,A+,+905389196204,2026-05-13 01:48:12
14,15242786858,Bahar Şahin,K,2023-05-26,Özel,Antalya,B+,+905321604451,2026-05-13 01:48:12
15,60533158630,Ali Özkan,E,1937-02-23,SGK,İzmir,O+,+905333726327,2026-05-13 01:48:12
16,44216073366,Kaan Tekin,E,1945-11-15,SGK,Bursa,A+,+905344818418,2026-05-13 01:48:12
17,24586850132,Duygu Koç,K,1952-02-12,Özel,İstanbul,A-,+905395453786,2026-05-13 01:48:12
18,91693406064,Derya Acar,K,1964-08-11,Özel,Gaziantep,A-,+905337110622,2026-05-13 01:48:12
19,94656482396,Selin Özkan,K,1977-06-01,Özel,Gaziantep,A+,+905326049101,2026-05-13 01:48:12
20,67773872142,Sude Acar,K,1998-03-27,SGK,Bursa,B-,+905336207974,2026-05-13 01:48:12
21,89176936740,Ali Öztürk,E,1985-06-12,SGK,Gaziantep,B-,+905302788238,2026-05-13 01:48:12
22,41727889578,Eda Turgut,K,1931-09-30,SGK,Gaziantep,O-,+905399468772,2026-05-13 01:48:12
23,44873471468,Hazal Özdemir,K,1997-12-01,SGK,İzmir,B+,+905382351868,2026-05-13 01:48:12
24,26658760370,Fatma Doğan,K,1947-07-19,Özel,Konya,A+,+905307381734,2026-05-13 01:48:12
25,98937346728,Funda Tekin,K,2015-06-06,SGK,Konya,B+,+905363768991,2026-05-13 01:48:12
26,11627204610,Sevgi Karakaya,K,1993-11-27,Özel,Adana,O+,+905357360682,2026-05-13 01:48:12
27,90531003304,Sinan Demir,E,1941-02-24,SGK,Konya,A-,+905333117636,2026-05-13 01:48:12
28,39912419020,Berna Güneş,K,1941-06-01,SGK,Eskişehir,B-,+905367654757,2026-05-13 01:48:12
29,29058651804,Kemal Özkan,E,1989-10-10,Özel,Gaziantep,AB-,+905372770648,2026-05-13 01:48:12
30,94987769470,Uğur Kaya,E,2001-03-30,Özel,Bursa,O-,+905348563202,2026-05-13 01:48:12
31,62735454916,Ayşe Köse,K,1981-08-02,SGK,Bursa,A-,+905309667566,2026-05-13 01:48:12
